report_idx,five_most_similars
677.0,"[760.0, 591.0, 336.0, 907.0, 189.0]"
811.0,"[410.0, 395.0, 450.0, 531.0, 918.0]"
330.0,"[916.0, 436.0, 63.0, 106.0, 132.0]"
155.0,"[697.0, 58.0, 691.0, 143.0, 558.0]"
900.0,"[848.0, 131.0, 744.0, 127.0, 100.0]"
67.0,"[63.0, 916.0, 189.0, 106.0, 436.0]"
640.0,"[389.0, 928.0, 836.0, 456.0, 759.0]"
945.0,"[145.0, 616.0, 864.0, 665.0, 618.0]"
190.0,"[552.0, 535.0, 29.0, 819.0, 820.0]"
221.0,"[35.0, 52.0, 257.0, 461.0, 50.0]"
813.0,"[244.0, 441.0, 493.0, 195.0, 230.0]"
830.0,"[341.0, 145.0, 665.0, 618.0, 448.0]"
162.0,"[79.0, 99.0, 95.0, 412.0, 955.0]"
37.0,"[719.0, 867.0, 275.0, 254.0, 896.0]"
319.0,"[720.0, 22.0, 66.0, 60.0, 940.0]"
886.0,"[546.0, 132.0, 174.0, 429.0, 79.0]"
699.0,"[436.0, 63.0, 88.0, 253.0, 100.0]"
405.0,"[874.0, 301.0, 403.0, 279.0, 537.0]"
483.0,"[74.0, 821.0, 280.0, 455.0, 918.0]"
613.0,"[360.0, 531.0, 341.0, 752.0, 410.0]"
315.0,"[760.0, 591.0, 336.0, 907.0, 189.0]"
540.0,"[916.0, 132.0, 171.0, 760.0, 880.0]"
458.0,"[760.0, 336.0, 591.0, 187.0, 189.0]"
343.0,"[691.0, 220.0, 213.0, 58.0, 558.0]"
650.0,"[279.0, 874.0, 283.0, 940.0, 537.0]"
216.0,"[129.0, 940.0, 514.0, 174.0, 451.0]"
13.0,"[12.0, 342.0, 749.0, 435.0, 117.0]"
713.0,"[720.0, 22.0, 66.0, 60.0, 122.0]"
702.0,"[29.0, 928.0, 819.0, 741.0, 759.0]"
32.0,"[257.0, 35.0, 697.0, 52.0, 50.0]"
90.0,"[260.0, 535.0, 819.0, 304.0, 29.0]"
239.0,"[752.0, 341.0, 531.0, 395.0, 145.0]"
946.0,"[939.0, 399.0, 875.0, 629.0, 950.0]"
471.0,"[436.0, 63.0, 916.0, 79.0, 99.0]"
84.0,"[12.0, 342.0, 749.0, 435.0, 885.0]"
673.0,"[341.0, 752.0, 531.0, 448.0, 911.0]"
453.0,"[58.0, 697.0, 257.0, 35.0, 691.0]"
951.0,"[939.0, 875.0, 399.0, 950.0, 629.0]"
871.0,"[955.0, 398.0, 684.0, 527.0, 583.0]"
797.0,"[195.0, 230.0, 493.0, 441.0, 932.0]"
229.0,"[719.0, 145.0, 752.0, 124.0, 341.0]"
348.0,"[360.0, 752.0, 194.0, 719.0, 423.0]"
806.0,"[106.0, 49.0, 455.0, 407.0, 341.0]"
203.0,"[257.0, 697.0, 35.0, 58.0, 77.0]"
61.0,"[257.0, 35.0, 697.0, 58.0, 771.0]"
434.0,"[412.0, 684.0, 955.0, 398.0, 583.0]"
406.0,"[440.0, 836.0, 865.0, 20.0, 284.0]"
26.0,"[247.0, 308.0, 873.0, 848.0, 100.0]"
598.0,"[627.0, 117.0, 749.0, 792.0, 885.0]"
902.0,"[919.0, 179.0, 577.0, 148.0, 75.0]"
954.0,"[955.0, 398.0, 412.0, 684.0, 795.0]"
960.0,"[939.0, 875.0, 399.0, 950.0, 629.0]"
408.0,"[301.0, 403.0, 874.0, 537.0, 412.0]"
135.0,"[285.0, 20.0, 287.0, 440.0, 535.0]"
112.0,"[77.0, 697.0, 662.0, 771.0, 357.0]"
205.0,"[389.0, 440.0, 836.0, 759.0, 456.0]"
464.0,"[880.0, 864.0, 932.0, 616.0, 171.0]"
373.0,"[928.0, 285.0, 29.0, 819.0, 20.0]"
904.0,"[591.0, 760.0, 336.0, 907.0, 851.0]"
427.0,"[795.0, 527.0, 583.0, 934.0, 299.0]"
62.0,"[244.0, 940.0, 880.0, 864.0, 589.0]"
727.0,"[550.0, 554.0, 820.0, 433.0, 577.0]"
188.0,"[435.0, 342.0, 12.0, 749.0, 792.0]"
177.0,"[706.0, 390.0, 75.0, 820.0, 496.0]"
115.0,"[436.0, 106.0, 916.0, 63.0, 189.0]"
355.0,"[493.0, 441.0, 195.0, 341.0, 230.0]"
462.0,"[535.0, 819.0, 260.0, 285.0, 29.0]"
734.0,"[88.0, 436.0, 63.0, 387.0, 934.0]"
637.0,"[527.0, 834.0, 398.0, 795.0, 583.0]"
267.0,"[874.0, 301.0, 403.0, 537.0, 279.0]"
256.0,"[257.0, 35.0, 697.0, 58.0, 50.0]"
751.0,"[691.0, 558.0, 220.0, 213.0, 58.0]"
961.0,"[880.0, 932.0, 195.0, 254.0, 168.0]"
297.0,"[257.0, 35.0, 52.0, 461.0, 220.0]"
659.0,"[66.0, 60.0, 720.0, 22.0, 939.0]"
282.0,"[864.0, 145.0, 880.0, 341.0, 395.0]"
660.0,"[132.0, 174.0, 429.0, 546.0, 79.0]"
905.0,"[875.0, 399.0, 950.0, 939.0, 629.0]"
518.0,"[435.0, 342.0, 12.0, 749.0, 117.0]"
693.0,"[429.0, 546.0, 583.0, 955.0, 139.0]"
242.0,"[893.0, 832.0, 127.0, 308.0, 307.0]"
172.0,"[496.0, 550.0, 820.0, 390.0, 554.0]"
45.0,"[760.0, 591.0, 336.0, 187.0, 306.0]"
712.0,"[720.0, 66.0, 60.0, 22.0, 940.0]"
774.0,"[939.0, 875.0, 399.0, 950.0, 629.0]"
3.0,"[924.0, 360.0, 881.0, 141.0, 341.0]"
28.0,"[435.0, 342.0, 12.0, 749.0, 117.0]"
277.0,"[591.0, 907.0, 189.0, 336.0, 760.0]"
703.0,"[50.0, 881.0, 400.0, 52.0, 395.0]"
377.0,"[725.0, 280.0, 583.0, 169.0, 934.0]"
847.0,"[433.0, 885.0, 317.0, 253.0, 820.0]"
149.0,"[591.0, 818.0, 760.0, 336.0, 851.0]"
920.0,"[493.0, 451.0, 400.0, 441.0, 514.0]"
411.0,"[531.0, 395.0, 341.0, 145.0, 911.0]"
269.0,"[461.0, 357.0, 558.0, 178.0, 220.0]"
694.0,"[720.0, 22.0, 66.0, 60.0, 122.0]"
666.0,"[50.0, 395.0, 215.0, 461.0, 341.0]"
